X	Y	Z	T
296450.134	2779231.350	6.640	41782.40603377
296450.133	2779231.353	0.010	41782.40614951
296450.131	2779231.361	6.710	41782.40635785
296450.126	2779231.372	6.640	41782.40675137
296450.125	2779231.374	6.570	41782.40676294
296449.983	2779232.169	6.550	41782.40677451
296450.320	2779237.271	6.290	41782.40691340
296450.248	2779238.149	6.250	41782.40692498
296449.976	2779253.257	6.010	41782.40708701
296340.009	2779210.461	6.980	41782.40858007
296339.889	2779210.523	6.640	41782.40859164
296339.529	2779210.702	6.980	41782.40862637
296339.407	2779210.795	6.970	41782.40863794
296339.299	2779210.905	7.000	41782.40864951
296339.187	2779211.027	6.990	41782.40866109
296339.118	2779211.178	-0.020	41782.40867266
296339.037	2779211.369	6.920	41782.40868424
296338.986	2779211.584	6.890	41782.40869581
296338.891	2779211.785	6.620	41782.40870738
296338.824	2779212.009	6.990	41782.40871896
296338.745	2779212.253	7.040	41782.40873053
296338.637	2779212.504	7.000	41782.40874211
296338.571	2779212.781	6.980	41782.40875368
296338.486	2779213.056	6.950	41782.40876525
296338.394	2779213.339	6.920	41782.40877683
296338.245	2779213.631	6.980	41782.40878840
296338.184	2779213.966	6.940	41782.40879998
296338.088	2779214.302	6.950	41782.40881155
296337.967	2779214.638	6.940	41782.40882312
296337.861	2779214.973	6.980	41782.40883470
296337.734	2779215.319	7.010	41782.40884627
296337.620	2779215.680	6.970	41782.40885785
296337.497	2779216.039	7.010	41782.40886942
296337.362	2779216.419	6.940	41782.40888100
296337.222	2779216.791	6.990	41782.40889257
296337.046	2779217.177	6.970	41782.40890414
296336.916	2779217.578	6.970	41782.40891572
296336.746	2779217.962	7.030	41782.40892729
296336.620	2779218.369	6.980	41782.40893887
296336.423	2779218.773	6.370	41782.40895044
296336.278	2779219.161	6.990	41782.40896201
296336.121	2779219.583	7.060	41782.40897359
296335.793	2779220.446	6.990	41782.40899674
296335.616	2779220.879	6.970	41782.40900831
296335.444	2779221.323	6.950	41782.40901988
296335.274	2779221.779	7.010	41782.40903146
296335.108	2779222.244	7.000	41782.40904303
296334.942	2779222.720	6.950	41782.40905461
296334.766	2779223.187	6.970	41782.40906618
296334.585	2779223.663	6.990	41782.40907775
296334.411	2779224.121	-0.020	41782.40908933
296334.232	2779224.607	6.920	41782.40910090
296334.048	2779225.095	7.000	41782.40911248
296333.852	2779225.582	-0.010	41782.40912405
296333.672	2779226.079	6.930	41782.40913562
296333.486	2779226.583	7.060	41782.40914720
296333.299	2779227.086	7.010	41782.40915877
296333.108	2779227.601	6.950	41782.40917035
296332.918	2779228.111	-0.010	41782.40918192
296332.113	2779230.203	1.810	41782.40922822
296331.696	2779231.276	0.010	41782.40925137
296331.490	2779231.821	0.010	41782.40926294
296331.272	2779232.366	0.010	41782.40927451
296331.044	2779232.921	0.010	41782.40928609
296330.828	2779233.470	0.010	41782.40929766
296330.591	2779234.019	0.020	41782.40930924
296330.384	2779234.569	0.010	41782.40932081
296329.655	2779236.283	0.010	41782.40935553
296329.010	2779238.036	-0.010	41782.40939025
296328.758	2779238.625	0.010	41782.40940183
296328.564	2779239.196	2.050	41782.40941340
296328.305	2779239.776	-0.020	41782.40942498
296328.024	2779240.341	-0.020	41782.40943655
296327.796	2779240.915	-0.010	41782.40944812
296327.264	2779242.080	-0.010	41782.40947127
296326.977	2779242.682	0.010	41782.40948285
296326.711	2779243.266	0.010	41782.40949442
296326.140	2779244.465	0.020	41782.40951757
296325.864	2779245.072	0.020	41782.40952914
296325.566	2779245.699	0.010	41782.40954072
296325.302	2779246.306	0.010	41782.40955229
296325.004	2779246.896	0.020	41782.40956387
296324.689	2779247.512	0.010	41782.40957544
296324.405	2779248.124	0.010	41782.40958701
296324.106	2779248.760	0.020	41782.40959859
296323.257	2779250.646	0.010	41782.40963331
296322.979	2779251.275	0.020	41782.40964488
296322.687	2779251.916	0.010	41782.40965646
296322.083	2779253.190	1.720	41782.40967961
296321.789	2779253.831	0.020	41782.40969118
296321.510	2779254.463	0.010	41782.40970275
296320.640	2779256.419	0.010	41782.40973748
296320.062	2779257.727	2.240	41782.40976062
296319.486	2779259.055	2.250	41782.40978377
296319.188	2779259.732	2.260	41782.40979535
296318.893	2779260.412	0.010	41782.40980692
296318.612	2779261.084	2.260	41782.40981850
296318.009	2779262.459	0.010	41782.40984164
296317.398	2779263.862	2.270	41782.40986479
296316.797	2779265.253	2.290	41782.40988794
296316.498	2779265.959	-0.010	41782.40989951
296316.218	2779266.668	2.270	41782.40991109
296315.631	2779268.096	2.260	41782.40993424
296315.332	2779268.816	2.340	41782.40994581
296315.032	2779269.528	2.330	41782.40995738
296314.445	2779270.930	2.150	41782.40998053
296313.855	2779272.375	-0.010	41782.41000368
296313.001	2779274.530	-0.010	41782.41003840
296312.442	2779276.009	0.020	41782.41006155
296311.889	2779277.471	-0.010	41782.41008470
296311.618	2779278.192	0.010	41782.41009627
296311.350	2779278.909	0.010	41782.41010785
296311.073	2779279.636	-0.010	41782.41011942
296310.516	2779281.095	0.020	41782.41014257
296309.989	2779282.553	-0.010	41782.41016572
296309.705	2779283.296	0.020	41782.41017729
296309.455	2779284.017	2.040	41782.41018887
296309.182	2779284.746	2.080	41782.41020044
296308.913	2779285.477	2.100	41782.41021201
296308.628	2779286.220	1.530	41782.41022359
296308.356	2779286.954	2.080	41782.41023516
296308.074	2779287.685	2.060	41782.41024674
296307.776	2779288.417	1.530	41782.41025831
296307.492	2779289.151	2.050	41782.41026988
296307.226	2779289.902	2.040	41782.41028146
296306.959	2779290.660	2.050	41782.41029303
296306.690	2779291.423	2.020	41782.41030461
296306.399	2779292.150	2.030	41782.41031618
296306.102	2779292.882	2.030	41782.41032775
296305.805	2779293.613	2.020	41782.41033933
296305.547	2779294.353	2.040	41782.41035090
296305.254	2779295.103	2.030	41782.41036248
296304.983	2779295.832	2.020	41782.41037405
296304.661	2779296.589	2.020	41782.41038563
296304.346	2779297.329	2.040	41782.41039720
296304.055	2779298.085	1.540	41782.41040877
296303.757	2779298.838	-0.010	41782.41042035
296303.472	2779299.580	1.550	41782.41043192
296303.167	2779300.343	2.030	41782.41044350
296302.839	2779301.085	2.040	41782.41045507
296302.525	2779301.840	2.040	41782.41046664
296302.215	2779302.601	2.040	41782.41047822
296301.901	2779303.362	1.500	41782.41048979
296301.577	2779304.127	2.060	41782.41050137
296301.252	2779304.879	0.010	41782.41051294
296300.925	2779305.629	2.080	41782.41052451
296300.591	2779306.372	1.530	41782.41053609
296300.273	2779307.136	1.520	41782.41054766
296299.971	2779307.892	2.060	41782.41055924
296299.640	2779308.646	2.070	41782.41057081
296299.308	2779309.375	2.040	41782.41058238
296298.936	2779310.132	2.070	41782.41059396
296298.613	2779310.885	2.060	41782.41060553
296298.264	2779311.673	2.070	41782.41061711
296297.936	2779312.428	1.530	41782.41062868
296297.601	2779313.183	1.510	41782.41064025
296297.248	2779313.947	2.030	41782.41065183
296296.886	2779314.718	1.500	41782.41066340
296296.532	2779315.484	2.040	41782.41067498
296296.187	2779316.256	0.010	41782.41068655
296295.495	2779317.790	2.020	41782.41070970
296295.099	2779318.552	2.050	41782.41072127
296294.738	2779319.320	2.040	41782.41073285
296294.369	2779320.105	2.010	41782.41074442
296294.008	2779320.888	2.000	41782.41075600
296293.641	2779321.679	2.000	41782.41076757
296293.285	2779322.475	1.980	41782.41077914
296292.918	2779323.269	1.980	41782.41079072
296292.545	2779324.071	2.000	41782.41080229
296292.175	2779324.849	1.990	41782.41081387
296291.806	2779325.632	1.990	41782.41082544
296291.441	2779326.421	2.070	41782.41083701
296291.077	2779327.214	2.260	41782.41084859
296290.734	2779328.000	1.500	41782.41086016
296289.591	2779330.379	-0.010	41782.41089488
296288.850	2779332.024	2.850	41782.41091803
296288.468	2779332.849	3.010	41782.41092961
296288.103	2779333.662	3.070	41782.41094118
296287.715	2779334.482	3.090	41782.41095275
296287.335	2779335.281	3.090	41782.41096433
