X	Y	Z	T
296450.138	2779231.345	0.010	41782.40565183
296450.138	2779231.345	0.020	41782.40566340
296450.138	2779231.345	0.010	41782.40567498
296450.138	2779231.345	0.010	41782.40568655
296450.137	2779231.345	0.010	41782.40570970
296450.137	2779231.346	0.010	41782.40572127
296450.137	2779231.346	0.020	41782.40573285
296450.137	2779231.346	6.560	41782.40574442
296450.137	2779231.346	6.590	41782.40575600
296450.137	2779231.346	6.590	41782.40576757
296450.137	2779231.346	6.590	41782.40577914
296450.137	2779231.347	6.580	41782.40579072
296450.136	2779231.347	6.570	41782.40580229
296450.136	2779231.347	6.580	41782.40581387
296450.136	2779231.347	6.580	41782.40582544
296450.136	2779231.347	6.570	41782.40583701
296450.136	2779231.347	6.560	41782.40584859
296450.136	2779231.347	6.570	41782.40586016
296450.136	2779231.348	6.570	41782.40587174
296450.136	2779231.348	6.580	41782.40588331
296450.135	2779231.348	6.580	41782.40589488
296450.135	2779231.348	6.610	41782.40590646
296450.135	2779231.348	6.590	41782.40591803
296450.135	2779231.348	6.580	41782.40592961
296450.135	2779231.349	6.570	41782.40594118
296450.135	2779231.349	6.560	41782.40595275
296450.134	2779231.349	6.580	41782.40596433
296450.134	2779231.349	6.600	41782.40597590
296450.134	2779231.349	6.580	41782.40598748
296450.134	2779231.350	6.610	41782.40599905
296450.134	2779231.350	6.590	41782.40601063
296450.134	2779231.350	6.570	41782.40602220
296450.134	2779231.350	6.640	41782.40603377
296450.133	2779231.351	6.570	41782.40604535
296450.133	2779231.351	6.590	41782.40605692
296450.133	2779231.351	6.590	41782.40606850
296450.133	2779231.351	6.560	41782.40608007
296450.133	2779231.352	6.590	41782.40609164
296450.133	2779231.352	0.010	41782.40610322
296450.133	2779231.352	0.010	41782.40611479
296450.133	2779231.353	0.020	41782.40612637
296450.133	2779231.353	24.610	41782.40613794
296450.133	2779231.353	0.010	41782.40614951
296450.132	2779231.354	17.510	41782.40616109
296450.132	2779231.354	28.530	41782.40617266
296450.132	2779231.354	0.010	41782.40618424
296450.132	2779231.355	29.190	41782.40619581
296450.132	2779231.355	0.010	41782.40620738
296450.132	2779231.356	0.010	41782.40621896
296450.132	2779231.356	24.320	41782.40623053
296450.132	2779231.356	37.670	41782.40624211
296450.132	2779231.357	19.430	41782.40625368
296450.131	2779231.358	28.030	41782.40628840
296450.131	2779231.359	31.520	41782.40629998
296450.131	2779231.359	6.630	41782.40631155
296450.131	2779231.360	6.610	41782.40632312
296450.131	2779231.360	6.640	41782.40633470
296450.131	2779231.361	6.630	41782.40634627
296450.131	2779231.361	6.710	41782.40635785
296450.130	2779231.362	6.650	41782.40636942
296450.130	2779231.362	6.690	41782.40638100
296450.130	2779231.363	6.600	41782.40639257
296450.130	2779231.363	6.710	41782.40640414
296450.130	2779231.364	32.320	41782.40641572
296450.130	2779231.364	6.650	41782.40643887
296450.130	2779231.364	6.680	41782.40645044
296450.130	2779231.365	6.760	41782.40646201
296450.130	2779231.365	6.740	41782.40647359
296450.130	2779231.365	0.020	41782.40648516
296450.130	2779231.365	6.660	41782.40649674
296450.129	2779231.365	0.030	41782.40650831
296450.129	2779231.365	0.010	41782.40651988
296450.129	2779231.365	6.650	41782.40653146
296450.129	2779231.366	6.610	41782.40654303
296450.129	2779231.366	6.610	41782.40655461
296450.129	2779231.366	6.620	41782.40656618
296450.129	2779231.366	6.620	41782.40657775
296450.128	2779231.366	6.620	41782.40658933
296450.128	2779231.366	-0.030	41782.40660090
296450.128	2779231.367	6.640	41782.40661248
296450.128	2779231.367	6.630	41782.40662405
296450.128	2779231.367	6.620	41782.40663562
296450.128	2779231.367	-0.010	41782.40664720
296450.128	2779231.367	6.660	41782.40665877
296450.128	2779231.368	6.620	41782.40667035
296450.127	2779231.368	6.610	41782.40668192
296450.127	2779231.369	0.010	41782.40669350
296450.127	2779231.369	6.130	41782.40670507
296450.127	2779231.370	0.010	41782.40671664
296450.127	2779231.371	6.730	41782.40672822
296450.126	2779231.371	6.620	41782.40673979
296450.126	2779231.372	6.640	41782.40675137
296450.125	2779231.374	6.570	41782.40676294
296449.983	2779232.169	6.550	41782.40677451
296449.896	2779232.630	6.610	41782.40678609
296449.953	2779232.923	6.530	41782.40679766
296449.969	2779233.132	6.550	41782.40680924
296450.084	2779233.359	6.690	41782.40682081
296450.164	2779233.560	6.490	41782.40683238
